part_case_id,batch_id,part_id,scenario_type,severity_level,disturbance_flag,recommendation_status,primary_failure_reason,dev_offset,dev_tilt,dev_bend,dev_waviness,dev_noise,dev_twist,fixture_drift,z_adj,theta_adj,locator_offset,mean_gap,max_gap,parallelism_error,rms_deviation,quality_score
1072,DIST_H_003,2,disturbed_batch,high,disturbed,REWORK_REQUIRED,parallelism_error,-1.7833233113181524,-1.069029978511608,-0.1451359510239003,0.5853304164751167,0.1089741658321776,0.0424993973268004,0.3253554909733274,1.5,1.2,0.0,0.5530465142627271,1.3775702866852697,2.238104196059989,0.6405303480890325,1.314669333911299
568,WAV_H_002,8,waviness_dominant,high,normal,REWORK_REQUIRED,parallelism_error,0.23139729218374,0.1257383150437274,0.0265304006669326,0.5040345121382898,0.0432051656770038,-0.0423803377959387,-0.026660989396544,0.0,0.0,-0.25,0.5680484234673644,1.32859109918288,2.1985378132826057,0.6744408479398638,1.2959972855738415
535,WAV_M_004,5,waviness_dominant,medium,normal,REWORK_REQUIRED,parallelism_error,0.2745508111840532,-0.1138085465472816,-0.0462451635759543,0.5956377271350255,0.0435759702940617,-0.0809204549868999,0.0571604851264572,-0.5,0.24,0.25,0.5739439411509015,1.3180142358809308,2.193930860278697,0.6736666700934438,1.2931333782025034
512,WAV_M_002,2,waviness_dominant,medium,normal,REWORK_REQUIRED,parallelism_error,0.2846033122083221,-0.1146540841575159,-0.1490758480930098,0.4862680194484751,0.0323571501980716,0.1090278169691185,-6.186558842860221e-05,-0.5,0.24,0.0,0.5606430193253478,1.3092664115500008,2.187730014244104,0.6580344189122751,1.2830952754270633
381,BEN_M_004,1,bend_dominant,medium,normal,REWORK_REQUIRED,parallelism_error,0.1664938787268482,-0.1201525564346605,-0.964970499298714,0.1367600217719133,0.0283978341783937,0.1042662831418758,0.0042844376280221,-0.5,0.24,-0.75,0.5106011772718281,1.3788634932689277,2.091113250553788,0.6205828691163606,1.256231663239999
578,WAV_H_003,8,waviness_dominant,high,normal,REWORK_REQUIRED,parallelism_error,0.156019406508207,-0.1184104922435744,0.1086175930681478,0.6586023612464621,0.0569612772626629,0.0899549831513541,-0.0491330698456157,0.0,0.24,-0.25,0.5893551327290101,1.222840266710937,2.129505816624635,0.6918595681005295,1.2516963216294277
1086,DIST_H_004,6,disturbed_batch,high,disturbed,REWORK_REQUIRED,parallelism_error,-1.87204881651848,0.6023860934348311,-0.8396971734865366,0.4865363959274817,0.1465722460195367,-0.6214989684975456,0.7698115693641989,1.5,-0.48,-1.0,0.5079749550399154,1.395942204618577,2.021119481167884,0.6518049507859817,1.2426914873265111
413,BEN_H_002,3,bend_dominant,high,normal,REWORK_REQUIRED,parallelism_error,-0.1752190085237002,-0.1144588257804014,0.799515063655075,0.0331102754383923,0.0405700129111763,0.032783201130331,0.0634315756683823,0.5,0.0,0.5,0.5291925446273024,1.333287515524725,2.0071711369518264,0.6197559068546719,1.2228709498166233
443,BEN_H_005,3,bend_dominant,high,normal,REWORK_REQUIRED,parallelism_error,0.2318896357746757,-0.1212794931938539,0.6447417131227473,0.1836692820812435,0.05220718932492,-0.0647064505606017,-0.0811622079792379,0.0,0.24,0.5,0.5155291857027487,1.2678975007594269,2.084221496759397,0.6189538380566845,1.2221898387721402
1067,DIST_H_002,7,disturbed_batch,high,disturbed,REWORK_REQUIRED,parallelism_error,-1.524687958402208,-0.5937630880058267,-0.6772222598095408,0.4184327691183244,0.1690212625755617,0.7050831322842892,0.3669320110684777,1.5,0.72,-1.0,0.5127189312290283,1.2015300276718597,2.1486718327346503,0.6067313439963907,1.2195493718903003
712,MIX_H_002,2,mixed,high,normal,REWORK_REQUIRED,parallelism_error,-0.4547843519824862,0.1174206025689958,-0.4726172101194832,0.4659508187975336,0.0550077890578526,-0.0561182239877338,0.1884169289641921,0.5,0.0,-1.0,0.5151705373439533,1.3158789511611837,2.0212044512025944,0.6309494039987114,1.2187711223121904
507,WAV_M_001,7,waviness_dominant,medium,normal,REWORK_REQUIRED,parallelism_error,0.0469073854822375,0.1230831568070808,-0.0083914602192398,0.5211362059037665,0.0182796748727191,-0.0113009878146961,-0.0173797613482501,0.0,0.0,0.0,0.5588898821695253,1.1237992140446873,2.1508084918232,0.6451070253625087,1.2145599789474746
691,MIX_M_005,1,mixed,medium,normal,REWORK_REQUIRED,parallelism_error,-0.2282853632291483,0.3573919458063676,0.6073245703071755,0.2603717434757331,0.0388631056763334,-0.3693073954541295,0.0034146785261004,0.5,-0.24,0.25,0.502685016950681,1.2962283183920735,2.048421764302042,0.591544929522977,1.2133550228457366
556,WAV_H_001,6,waviness_dominant,high,normal,REWORK_REQUIRED,parallelism_error,0.1702145922209992,-0.123674587325704,0.0324068618975641,0.5770989884400027,0.029322574600916,-0.0273997816658373,-0.0902657180833749,0.0,0.24,-0.25,0.5575715205500932,1.216317775389673,2.0437803021179413,0.6554642574756653,1.2108473051648785
950,FIX_L_005,10,fixture_drift,low,normal,REWORK_REQUIRED,parallelism_error,0.2549802097293196,0.1256476280094773,0.1235175957077897,0.0482435406623924,0.0231400618069104,-0.0774668126749197,0.1600413455435905,-0.5,-0.24,0.25,0.5549685330463331,1.242664683803527,2.0197778394789023,0.6530286246705685,1.2105261793656856
933,FIX_L_004,3,fixture_drift,low,normal,REWORK_REQUIRED,parallelism_error,-0.1977553416234536,-0.112120435570316,-0.1526208555420863,0.1063092946168505,0.025668655564291,-0.0516907638771478,0.3446770525685458,0.0,0.0,-0.25,0.6049457315102594,1.1757265258828975,2.008413839597531,0.6705837147025269,1.203784200567459
