strategy,scenario_type,severity_level,disturbance_flag,recommendation_status,cases,mean_quality_score,worst_case_quality_score,total_group_cases,status_share_percent
batch_adaptive_setting,bend_dominant,high,normal,PASS_RECOMMENDED,33,0.7939228928810791,1.3815772160561777,50,66.0
batch_adaptive_setting,bend_dominant,high,normal,REWORK_REQUIRED,17,1.6875640787752146,2.272859470796141,50,34.0
batch_adaptive_setting,bend_dominant,low,normal,PASS_RECOMMENDED,50,0.49563753045877446,0.9918861317713314,50,100.0
batch_adaptive_setting,bend_dominant,medium,normal,PASS_RECOMMENDED,42,0.7670958879109777,1.2157180522478588,50,84.0
batch_adaptive_setting,bend_dominant,medium,normal,REWORK_REQUIRED,8,1.470968071892887,1.630816631064698,50,16.0
batch_adaptive_setting,disturbed_batch,high,disturbed,OUT_OF_CORRECTION_RANGE,42,8.602163270275534,18.567438976381546,50,84.0
batch_adaptive_setting,disturbed_batch,high,disturbed,PASS_RECOMMENDED,3,0.7545199726320441,0.98321174577802,50,6.0
batch_adaptive_setting,disturbed_batch,high,disturbed,REWORK_REQUIRED,5,2.1106359417839036,2.487563576439136,50,10.0
batch_adaptive_setting,fixture_drift,high,normal,OUT_OF_CORRECTION_RANGE,8,3.070870359455412,3.9307491813603614,50,16.0
batch_adaptive_setting,fixture_drift,high,normal,PASS_RECOMMENDED,24,0.6900862077536929,1.2411301377127586,50,48.0
batch_adaptive_setting,fixture_drift,high,normal,REWORK_REQUIRED,18,1.7959655390694043,2.49773288309411,50,36.0
batch_adaptive_setting,fixture_drift,low,normal,PASS_RECOMMENDED,31,0.6460617373032815,1.097492920802244,50,62.0
batch_adaptive_setting,fixture_drift,low,normal,REWORK_REQUIRED,19,1.3307251553058346,1.596917767477247,50,38.0
batch_adaptive_setting,fixture_drift,medium,normal,OUT_OF_CORRECTION_RANGE,4,2.5910289401366207,2.619301331337604,50,8.0
batch_adaptive_setting,fixture_drift,medium,normal,PASS_RECOMMENDED,21,0.6787108712900634,1.1804272643041789,50,42.0
batch_adaptive_setting,fixture_drift,medium,normal,REWORK_REQUIRED,25,1.813990970188283,2.47037703837044,50,50.0
batch_adaptive_setting,mixed,high,normal,OUT_OF_CORRECTION_RANGE,25,4.755863508273784,10.029767167459305,50,50.0
batch_adaptive_setting,mixed,high,normal,PASS_RECOMMENDED,10,0.9074394787493487,1.388768088160151,50,20.0
batch_adaptive_setting,mixed,high,normal,REWORK_REQUIRED,15,1.8365480972818915,2.364619771104615,50,30.0
batch_adaptive_setting,mixed,low,normal,OUT_OF_CORRECTION_RANGE,15,3.1094912588260057,5.389973584450169,50,30.0
batch_adaptive_setting,mixed,low,normal,PASS_RECOMMENDED,16,0.5864056482576577,1.265988293436794,50,32.0
batch_adaptive_setting,mixed,low,normal,REWORK_REQUIRED,19,1.9156650471977912,2.494564190829648,50,38.0
batch_adaptive_setting,mixed,medium,normal,OUT_OF_CORRECTION_RANGE,27,4.086083310236297,7.841046383151056,50,54.0
batch_adaptive_setting,mixed,medium,normal,PASS_RECOMMENDED,12,0.7800468902366425,1.4253234838512223,50,24.0
batch_adaptive_setting,mixed,medium,normal,REWORK_REQUIRED,11,1.9065367137800175,2.3779880003288505,50,22.0
batch_adaptive_setting,offset_dominant,high,normal,OUT_OF_CORRECTION_RANGE,2,2.646177985121601,2.762227364390315,50,4.0
batch_adaptive_setting,offset_dominant,high,normal,PASS_RECOMMENDED,25,0.7406480929864985,1.3679635430252497,50,50.0
batch_adaptive_setting,offset_dominant,high,normal,REWORK_REQUIRED,23,1.6978867987861554,2.470889041623846,50,46.0
batch_adaptive_setting,offset_dominant,low,normal,PASS_RECOMMENDED,50,0.5590221015214277,1.037042510914969,50,100.0
batch_adaptive_setting,offset_dominant,medium,normal,MANUAL_REVIEW,2,0.8776867483656703,0.9227333806814544,50,4.0
batch_adaptive_setting,offset_dominant,medium,normal,PASS_RECOMMENDED,41,0.7737424533147519,1.410234838605507,50,82.0
batch_adaptive_setting,offset_dominant,medium,normal,REWORK_REQUIRED,7,1.4417024115796444,2.22554329408945,50,14.000000000000002
