assembly_id,zero_final_quality,deterministic_final_quality,structured_final_quality,structured_advantage,absolute_quality_difference,winner,initial_quality_quartile
100001,0.4686975441677335,0.3914315652655237,0.3398119891241024,0.05161957614142132,-0.05161957614142132,STRUCTURED20,Q1_lowest_initial_error
100002,0.4635510198011304,0.203984941594216,0.2090657065341715,-0.00508076493995549,0.00508076493995549,DETERMINISTIC_LSQ,Q1_lowest_initial_error
100003,0.4916328895506952,0.2115516085456289,0.2203657714941582,-0.008814162948529297,0.008814162948529297,DETERMINISTIC_LSQ,Q1_lowest_initial_error
100004,1.0842060442014714,0.0117904037684957,0.0113372373242603,0.0004531664442354016,-0.0004531664442354016,STRUCTURED20,Q3
100005,0.6642064751889215,0.0358642696327352,0.16092821807686,-0.1250639484441248,0.1250639484441248,DETERMINISTIC_LSQ,Q2
100006,0.8737619534818086,0.2288983082258148,0.281047868782925,-0.052149560557110175,0.052149560557110175,DETERMINISTIC_LSQ,Q2
100007,0.2289960089452818,0.1790899815466004,0.1494604718638093,0.0296295096827911,-0.0296295096827911,STRUCTURED20,Q1_lowest_initial_error
100008,0.8062418738495909,0.1979362583805025,0.2543130560859588,-0.05637679770545628,0.05637679770545628,DETERMINISTIC_LSQ,Q2
100009,0.6601391083490844,0.2286679889728413,0.179855197966761,0.0488127910060803,-0.0488127910060803,STRUCTURED20,Q2
100010,0.3657680375530181,0.1968888471065776,0.2781225731446263,-0.08123372603804868,0.08123372603804868,DETERMINISTIC_LSQ,Q1_lowest_initial_error
100011,0.335734328085826,0.1110766228004867,0.0858503490022155,0.025226273798271207,-0.025226273798271207,STRUCTURED20,Q1_lowest_initial_error
100012,0.3923220375696787,0.2899658110917173,0.2783814258308629,0.011584385260854424,-0.011584385260854424,STRUCTURED20,Q1_lowest_initial_error
100013,0.1660402407125339,0.0335964102282604,0.0866541918555078,-0.0530577816272474,0.0530577816272474,DETERMINISTIC_LSQ,Q1_lowest_initial_error
100014,0.4271643180003009,0.1023119737890749,0.1796789024586036,-0.0773669286695287,0.0773669286695287,DETERMINISTIC_LSQ,Q1_lowest_initial_error
100015,0.0643854288056136,0.0833430773641939,0.0615447942791199,0.021798283085073998,-0.021798283085073998,STRUCTURED20,Q1_lowest_initial_error
100016,0.4071650229883021,0.4673416837445636,0.3964020808153755,0.0709396029291881,-0.0709396029291881,STRUCTURED20,Q1_lowest_initial_error
